location,mean_lat,mean_lon,listing_count
shahdara,31.626740435462963,74.28161942462962,108
g-6,33.71412738898148,73.08640385194445,108
al noor garden,31.42152200130841,73.13977902,107
orangi town,24.94934219207547,66.97793939415094,106
tariq road,24.871119139514562,67.05962844592233,103
delhi colony,24.831703900686275,67.04392799029412,102
bor - board of revenue housing society,31.478452010101012,74.29684597979798,99
samarzar housing society,33.527719790404035,73.04458399222223,99
malir link to super highway,24.950831415757577,67.18290558050505,99
naya nazimabad,24.969255004545456,67.03985500969698,99
new lalazar,33.561078066421054,73.07075608094738,95
taj bagh scheme,31.563027682127657,74.41443515074468,94
national police foundation,33.69869100652174,72.98243628282609,92
airport,24.902642048369568,67.15995560913044,92
revenue society,31.45057812380435,74.28845689804348,92
labor colony,31.403960000000005,74.214497,92
p & t colony,24.826385972826085,67.04567706728261,92
river garden,33.55157902222222,73.16613908888888,90
millat road,31.454621067415726,73.12560484269663,89
nishtar colony,31.422218003678164,74.3643950016092,87
harbanspura road,31.58346601151163,74.4040333777907,86
khayaban colony 2,31.42758794588235,73.1311712884706,85
aashiana road,31.429321677411764,74.3788598944706,85
shadab garden,31.42277835297619,74.35510725940476,84
mughalpura,31.56818135878049,74.3784254947561,82
northern bypass,25.06503162195122,67.09819954463414,82
rashid minhas road,24.90006344728395,67.11562915222221,81
chatha bakhtawar,33.66641628790123,73.15319114086421,81
gulistan colony,33.463214583375006,73.15802708174999,80
dhok sayedan road,33.590157800499995,73.009591524375,80
daroghewala,31.588414767625,74.40107149537499,80
green avenue,33.668911111392404,73.15142726468355,79
girja road,33.564922961538464,72.99355807692307,78
walton road,31.478001253846152,74.35832611205129,78
dhok paracha,33.640455,73.084095,78
nfc 1,31.416984346883115,74.26899843506493,77
millat town,31.492826913289473,73.1031215093421,76
krl road,33.61621190578947,73.10856268539474,76
lehtarar road,33.6402130612,73.15531772773333,75
margalla town,33.6704927212,73.10620417906667,75
sargodha road,31.448390345945942,73.08719766405406,74
kda scheme 1,24.879606002602742,67.09052453520547,73
ali housing colony,31.408951795694446,73.03755152819446,72
zaraj housing scheme,33.51456307661972,73.15325808140844,71
rehman gardens,31.406427800000003,73.3826476,70
islampura,31.56628377101449,74.29927569231884,69
bahria nasheman,31.31998844382353,74.40285152617648,68
shah jamal,31.52754435161765,74.32941576676471,68
nisar colony,31.379643652835824,73.0653303,67
abdalians cooperative housing society,31.455943548955222,74.2685500283582,67
sui gas housing society,31.450041104477616,74.38974844776119,67
sadiqabad,33.63242516119403,73.08086635358208,67
jhang road,31.400033665373133,73.03041079179106,67
